site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Aquatic Insects,Coleoptera_terrestrial,Detritus,Diptera_terrestrial,Hymenoptera_terrestrial,Plant material,Sand_silt,Unidentified insects
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,53,Aug-97,Aug-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,10.2,,51.8,1,17.7,11.4,4.5,3.5
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,38,Sep-97,Sep-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,0.7,1,45.6,15.8,1.4,13.7,1.9,19.9
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,32,Oct-97,Oct-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,18.9,2.5,22,,2.5,28.3,23.9,1.9
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,27,Nov-97,Nov-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,1.5,16.2,0.1,1.7,6.7,34.8,38.9
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,30,Dec-97,Dec-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,,3.1,0.2,0.3,4.6,84,7.8
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,37,Jan-98,Jan-98,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,,18.3,7.6,,,38,36.1
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,45,Feb-98,Feb-98,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,0.8,,16,2.9,,,73.8,6.5
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,49,Mar-98,Mar-98,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,36.5,36.9,,0.3,0.3,18.2,7.7
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,51,Apr-98,Apr-98,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,0.6,,21.7,,0.7,0.5,67.4,9.1
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,62,May-98,May-98,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,3.9,36.4,3.7,4,,41.6,10.4
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,64,Jun-98,Jun-98,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,,14.5,0.9,0.9,6.9,70.8,5.9
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,64,Jul-98,Jul-98,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,,5.4,0.5,9.8,0.1,84.1,
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,69,Aug-98,Aug-98,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,,43.8,4,3.1,0.2,47.5,1.4
