name,new_name,description,note_for_main_dataset,note,new_table
paper_id,source_id,"Unique ID of the dietary source (i.e., table or figure within a citation; e.g., if table 1 and table 2 are used from a single paper, these would each have unique id's).",keep,,trophish_data
fish_id,fish_id,Unique ID of the fish diet. This - length(unique(trophish_dataset$fish_id)) - is the total number of fish diets in the database.,keep,,trophish_data
record_id,record_id,Unique ID of the individual record (one ID per row in the main data set),keep,,trophish_data
predator_min_length,fish_min_length,"Minimum length of the fish, if multiple fish were measured and reported as a summary",keep,,trophish_data
predator_average_length,fish_average_length,Average length of the fish in the sample.,keep,,trophish_data
predator_max_length,fish_max_length,"Maximum length of the fish, if multiple fish were measured and reported as a summary",keep,,trophish_data
length_units,fish_length_units,"Units of length. All lengths are in ""cm"" or are missing as NA",keep,,trophish_data
length_measure,fish_length_measure,"Type of length measure: standard length (SL), fork length (FL), or total length (TL)",keep,,trophish_data
habitat_loticlentic,habitat_loticlentic,"Whether the habitat is lentic, lotic or mixed (lentic_lotic).",keep,,trophish_data
measurement_unit_fixed,diet_units,Diet value units,keep,,trophish_data
measurement_number,diet_value,Diet value,keep,,trophish_data
measurement_type_simple,diet_type,Diet value type,keep,,trophish_data
measurement_percent,diet_percent,Diet percent - All diet values converted to a percent of a total fish's diet.,keep,,trophish_data
lon,longitude,"Longitude of sample location. Usually from the paper, but occasionally estimated from Google Earth",keep,,trophish_data
lat,latitude,"Latitude of sample location. Usually from the paper, but occasionally estimated from Google Earth",keep,,trophish_data
prey_stage,prey_stage,"Prey life stage. If multiple life stages (e.g., larvae_adults, larvae_pupae), then the diet value includes all of those stages",keep,Need to standardize. Done on dec 18 2023,trophish_data
prey_class,prey_class,"Class of the prey, if identifiable",keep,,trophish_data
fish_species,fish_species,"Species of the fish, if identifiable",keep,,trophish_data
sample_size_numeric,sample_size_numeric,"Numeric of the sample_size, if identifiable",keep,,trophish_data
prey_origin,prey_origin,"Larval origin of the prey (aquatic, terrestrial. If aquatic_or_terrestrial, then the prey taxa was not exclusively aquatic or terrestrial. If NA, then the prey taxa could not be assigned or identified beyond the description given in the paper - e.g., ""bug"" or ""insects"" or ""plants"", etc.)",keep,,trophish_data
fish_measure_id,fish_measure_id,Unique ID of the fish diet within a study. This may not be needed.,delete,,
predator_stage,predator_stage,DELETE,delete,,
microhabitat,microhabitat,DELETE,delete,,
sample_id,sample_id,delete,delete,,
prey_type,prey_type,delete,delete,,
prey_note,prey_note,delete (mostly NA's),delete,,
prey_taxon_cleaned,prey_taxon_cleaned,delete (all NA's),delete,,
start_month,start_month,delete,delete,,
end_month,end_month,delete,delete,,
start_year,start_year,delete,delete,,
end_year,end_year,delete,delete,,
PercentEmpty,PercentEmpty,delete (mostly NA's),delete,,
prey_taxon_database,prey_taxon_database,delete (mostly NA's),delete,,
total,total,Total percentage for checking,delete,,
author_year_fish,author_year_fish,delete,delete,,
Troph,Troph,"Troph of the Troph, if identifiable",delete,,
seTroph,seTroph,"Setroph of the seTroph, if identifiable",delete,,
FoodI,FoodI,"Foodi of the FoodI, if identifiable",delete,,
FoodII,FoodII,"Foodii of the FoodII, if identifiable",delete,,
FoodIII,FoodIII,"Foodiii of the FoodIII, if identifiable",delete,,
months_sampled,months_sampled,"Sampled of the months, if identifiable",delete,,
