"","source_id","author","year","journal","citation","table_figure"
"25","0001H8AKW58D9PC4DG9JMRAWM6","Turner",1992,"Beloit College","Turner, C. L. (1922). Notes on the food habits of young of Cottus ictalops (millers thumb).","tbl_1"
"26","0001H8AKW5TCPH9DCPW7X7GYQN","Virgilio",2019,"Biotemas","Virgilio, L. R., Gomes, R., da Silveira Susçuarana, M., & Vieira, L. J. S. (2019). Analysis of the use of microhabitats, spatial distribution and diet of Gymnorhamphichthys rondoni (Miranda-Ribeiro, 1920)(Rhamphichthyidae) in low-order streams in western Amazon. Biotemas, 32(1), 65-76.","tbl_2"
"27","0001H8AKW52BJ40JRF3X95QEX4","Virgilio",2019,"Biotemas","Virgilio, L. R., Gomes, R., da Silveira Susçuarana, M., & Vieira, L. J. S. (2019). Analysis of the use of microhabitats, spatial distribution and diet of Gymnorhamphichthys rondoni (Miranda-Ribeiro, 1920)(Rhamphichthyidae) in low-order streams in western Amazon. Biotemas, 32(1), 65-76.","tbl_2"
"28","0001H8AKW60GXZ2VDEARVBPENW","Virgilio",2019,"Biotemas","Virgilio, L. R., Gomes, R., da Silveira Susçuarana, M., & Vieira, L. J. S. (2019). Analysis of the use of microhabitats, spatial distribution and diet of Gymnorhamphichthys rondoni (Miranda-Ribeiro, 1920)(Rhamphichthyidae) in low-order streams in western Amazon. Biotemas, 32(1), 65-76.","tbl_2"
"29","0001H8AKV89Q6MP0CAKPVTPBY8","GarcíA-Alzate",2012,"Revista de Biología Tropical","García-Alzate, C. A., Román-Valencia, C., & Barrero, A. M. (2012). Biología alimentaria y reproductiva de Farlowella vittata (Siluriformes: Loricariidae) en la cuenca del río Güejar, Orinoquía, Colombia. Revista de Biología Tropical, 60(4), 1873-1888.","tbl_2"
"30","0001H8AKV9G0287VQ7N0VV7MW2","Gill",1998,"Ecology of Freshwater Fish","Gill, H. S., & Morgan, D. L. (1998). Larval development of Nannatherina balstoni Regan (Nannopercidae), with a description of ontogenetic changes in diet. Ecology of Freshwater Fish, 7(3), 132-139.","tbl_3"
"31","0001H8AKSN68QMR1BDMTVP486H","Crawford",1922,"Scientific contributions of the New York Zoological Society","Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.","tbl_2"
"32","0001H8AKSNBSG9QM30ZFVJ5N5D","Crawford",1922,"Scientific contributions of the New York Zoological Society","Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.","tbl_3"
"33","0001H8AKSNBJAE9WWGZQQEN7TM","Crawford",1922,"Scientific contributions of the New York Zoological Society","Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.","tbl_4"
"34","0001H8AKSNYVATJ61ACVQN82SW","Crawford",1922,"Scientific contributions of the New York Zoological Society","Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.","tbl_5"
"35","0001H8AKSNG8JECMCPBSSXAMT5","Crawford",1922,"Scientific contributions of the New York Zoological Society","Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.","tbl_6"
"36","0001H8AKSNG2W848P640ZHDAXC","Crawford",1922,"Scientific contributions of the New York Zoological Society","Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.","tbl_7"
"37","0001H8AKVAEBXTKH2D7D36VWGE","Greger",1988,"American Society of Ichthyologists and Herpetologists","Greger, P. D., & Deacon, J. E. (1988). Food partitioning among fishes of the Virgin River. Copeia, 314-323.","tbl_2"
"38","0001H8AKVADJCEXT6ZD9DB9YE3","Greger",1988,"American Society of Ichthyologists and Herpetologists","Greger, P. D., & Deacon, J. E. (1988). Food partitioning among fishes of the Virgin River. Copeia, 314-323.","tbl_3"
"39","0001H8AKSQ9P2BS1WVDR2VWKG4","Holder",2010,"Southeastern Naturalist","Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia.�Southeastern Naturalist,�9(2), 347-359.","tbl_1"
"40","0001H8AKSMC2V0QQN846F51NM9","Adite",1997,"Ecoscience","Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, �coscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371","tbl_3"
"41","0001H8AKSMH1XK117W7SA13B5E","Adite",1997,"Ecoscience","Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, �coscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371","tbl_4"
"42","0001H8AKSMP2QQ0BPEJCXSMACS","Alexander",2013,"Transactions of the Kansas Academy of Sciences","Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1�2), 11-22.","tbl_1"
"43","0001H8AKSNGH1CJ3SJYFG7KSN6","De Almeida",1997,"Ecology of Freshwater Fish","de Almeida VLL, Hahn NS, Vazzoler AEA de M. Feeding patterns in
five predatory fishes of the high Parana River floodplain (PR, Brazil).
Ecology of Freshwater Fish 1997: 6: 123-133.","tbl_1"
"44","0001H8AKSNZG2DN3K2C3TKCSYJ","Arawomo",1976,"Journal of Fish Biology","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria.�Journal of Fish Biology,�9(1), 3-10.","tbl_2"
"45","0001H8AKSPQMKHJXDY3T92AD0F","Frost",1946,"Journal of Animal Ecology","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl_4"
"46","0001H8AKSQRYMBJQ1K7C4HB867","Maddern",2007,"Journal of the Royal Society of Western Australia","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia.�Journal of the Royal Society of Western Australia,�90(4), 203-214.","tbl_2"
"47","0001H8AKSRJ269Q58S7GTGPHEN","Oso",2006,"World Journal of Zoology","Oso. World Journal of Zoology 1 (2): 118-121, 2006","tbl_1"
"48","0001H8AKSRQZJK46E5BQ7Q9QFW","Oso",2006,"World Journal of Zoology","Oso. World Journal of Zoology 1 (2): 118-121, 2006","tbl_3"
"49","0001H8AKTXBQYBN63MHYZR4YWY","Aguiaro",2003,"Brazilian Archives of Biology and Technology","Aguiaro, T., Castelo Branco, C. W., Verani, J. R., & Caramaschi, É. P. (2003). Diet of the clupeid fish Platanichthys platana (Regan, 1917) in two different Brazilian coastal lagoons. Brazilian Archives of Biology and Technology, 46, 215-222.",NA
"50","0001H8AKTXZEEPTSGRCTQWTDCB","MíRiam",2003,"Studies on neotropical fauna and environment","Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 3340.","tbl_1"
"51","0001H8AKTYTDQ9HN8DD2MFC910","Allin",1928,"Bulletin of the Buffalo Society of Natural Sciences","Allin, A. E. (1929). Seining records and food of the intermediate stages of Lake Erie fishes. Bulletin of the Buffalo Society of Natural Sciences. 14: 188-194","tbl_29"
"52","0001H8AKTYK7D9Y8BVCQTSG3XG","Almeida",2009,"Ecology of freshwater fish","Almeida, D., Almodóvar, A., Nicola, G. G., & Elvira, B. (2009). Feeding tactics and body condition of two introduced populations of pumpkinseed Lepomis gibbosus: taking advantages of human disturbances?. Ecology of freshwater fish, 18(1), 15-23.","tbl_3"
"53","0001H8AKV0Q64958NYGSXK2B8P","Bruton",1979,"Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl_3"
"54","0001H8AKV2RECNZ2B59A6QAPP7","Cable",1927,"University of South Dakota","Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).","tbl_9"
"55","0001H8AKV39FR1M9BXD7XCPWQ3","Dadebo",2000,"Ethiopian Journal of Science","Dadebo, E. (2000). Reproductive biology and feeding habits of the catfish Clarias gariepinus (Burchell)(Pisces: Clariidae) in Lake Awassa, Ethiopia. SINET: Ethiopian Journal of Science, 23(2), 231-246.","tbl_1"
"56","0001H8AKV338D9J2SKEC0AVK88","Dadebo",2000,"Ethiopian Journal of Science","Dadebo, E. (2000). Reproductive biology and feeding habits of the catfish Clarias gariepinus (Burchell)(Pisces: Clariidae) in Lake Awassa, Ethiopia. SINET: Ethiopian Journal of Science, 23(2), 231-246.","tbl_1"
"57","0001H8AKV3ME1HCHDSD5SNT2H3","Darnell",1958,"University of Texas Marine Science Institute","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl_1"
"58","0001H8AKV3MBAVDWWK8R1Q1Z8B","Darnell",1958,"University of Texas Marine Science Institute","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl_12"
"59","0001H8AKV4A46E0DH1S4N8BSYE","Darnell",1958,"University of Texas Marine Science Institute","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl_3"
"60","0001H8AKV527TRJV883B0D383R","Delariva",2001,"Journal of Fish Biology","Delariva, R. L., & Agostinho, A. A. (2001). Relationship between morphology and diets of six neotropical loricariids. Journal of Fish Biology, 58(3), 832-847.","tbl_3"
"61","0001H8AKV5WFDSPZ9CJD50RCDD","Delariva",2001,"Journal of Fish Biology","Delariva, R. L., & Agostinho, A. A. (2001). Relationship between morphology and diets of six neotropical loricariids. Journal of Fish Biology, 58(3), 832-847.","tbl_3"
"62","0001H8AKV61SBXTJ01MPEVAQ6X","Dutton",2018,"Montana State University","Dutton, A. J. (2018). Feeding ecology and foodweb interactions of the fish assemblage in the upper Missouri River and lower Yellowstone River with an emphasis on pallid sturgeon conservation (Doctoral dissertation, Montana State UniversityBozeman, College of Letters & Science).","tbl_2.3"
"63","0001H8AKV7YCNVZT1VE9XQ37D1","Facade",1973,"Journal of Fish Biology","Facade, S. O., & Olaniyan, C. I. O. (1973). The food and feeding interrelationship of the fishes in the Lagos lagoon. Journal of Fish Biology, 5(2), 205-225.","tbl_2"
"64","0001H8AKV7E1VCH06X716YJ6HP","Facade",1973,"Journal of Fish Biology","Facade, S. O., & Olaniyan, C. I. O. (1973). The food and feeding interrelationship of the fishes in the Lagos lagoon. Journal of Fish Biology, 5(2), 205-225.","tbl_2"
"65","0001H8AKV7AHQZ2H487S6C6036","Facade",1973,"Journal of Fish Biology","Facade, S. O., & Olaniyan, C. I. O. (1973). The food and feeding interrelationship of the fishes in the Lagos lagoon. Journal of Fish Biology, 5(2), 205-225.","tbl_2"
"66","0001H8AKV8MGHDYFK88VTF0414","Franz",1970,"California Fish and Game","Frantz, T. C., & Cordone, A. J. (1970). Food of lake trout in Lake Tahoe. California Fish and Game, 56(1).","tbl_5"
"67","0001H8AKV88VHC627H480WKVJC","Franz",1970,"California Fish and Game","Frantz, T. C., & Cordone, A. J. (1970). Food of lake trout in Lake Tahoe. California Fish and Game, 56(1).","tbl_6"
"68","0001H8AKV9ZJVM3C7TMGSZSA19","Genner",1999,"Oecologia","Genner, M. J., Turner, G. F., & Hawkins, S. J. (1999). Foraging of rocky habitat cichlid fishes in Lake Malawi: coexistence through niche partitioning?. Oecologia, 121(2), 283-292.","tbl_1"
"69","0001H8AKVCV29AVKVF71C18W06","Hellawell",1972,"Journal of Fish Biology","Hellawell, J. M. (1972). The growth, reproduction and food of the roach Rutilus rutilus (L.), of the River Lugg, Herefordshire. Journal of Fish Biology, 4(4), 469-486.","tbl_5"
"70","0001H8AKVCW6YY7E0SPPHTWEJK","Hellawell",1972,"Journal of Fish Biology","Hellawell, J. M. (1972). The growth, reproduction and food of the roach Rutilus rutilus (L.), of the River Lugg, Herefordshire. Journal of Fish Biology, 4(4), 469-486.","tbl_6"
"71","0001H8AKVD88FS9J4W8J7182V0","Idodo-Umeh",2002,"Tropical Freshwater Biology","Idodo-Umeh, G. (2002). The feeding ecology of bagrid species in river Ase, Niger Delta, Southern Nigeria. Tropical Freshwater Biology, 11(1), 47-68.","tbl_3"
"72","0001H8AKVDACGX7MJT1ZXC3FMH","Idodo-Umeh",2002,"Tropical Freshwater Biology","Idodo-Umeh, G. (2002). The feeding ecology of bagrid species in river Ase, Niger Delta, Southern Nigeria. Tropical Freshwater Biology, 11(1), 47-68.","tbl_4"
"73","0001H8AKVFSGN3Z5M8SRPQNFE2","Kido",1999,"Pacific Science","Kido, M. H., Heacock, D. E., & Asquith, A. (1999). Alien rainbow trout (Oncorhynchus mykiss)(Salmoniformes: Salmonidae) diet in Hawaiian streams.","tbl_1"
"74","0001H8AKVGFF5DXJ39M97M59P3","Kleanthidis",1991,"Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl_1"
"75","0001H8AKVKKPQ4F73T32EPC73Y","Knoppel",1970,"AMAZONIANA","Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.","tbl_42"
"76","0001H8AKVMW74HQ67PQSXNA2TB","Komolafe",2001,"Obafemi Awolowo University","Komolafe, O. O., & Arawomo, G. A. O. (2001). The distribution and feeding habits of a cichlid fish Oreochromis niloticus (Linnaeus) in Opa Reservoir, Ile-Ife.","tbl_3"
"77","0001H8AKVN9PPPMD92NNSCRQPW","Gkenas",2012,"Journal of Applied Ichthyology",NA,"tbl_1"
"78","0001H8AKVNKECBRJTR42Z0HEE0","Li",2015,"Environmental Biology of Fishes","Li, L., Wei, Q. W., Wu, J. M., Zhang, H., Liu, Y., & Xie, X. (2015). Diet of Leptobotia elongata revealed by stomach content analysis and inferred from stable isotope signatures. Environmental biology of fishes, 98(8), 1965-1978.","tbl_1"
"79","0001H8AKVQB9NZ988Q896GPM4Q","Manna",2012,"Brazilian Journal of Biology","Manna, L. R., Rezende, C. F., & Mazzoni, R. (2012). Plasticity in the diet of Astyanax taeniatus in a coastal stream from south-east Brazil. Brazilian Journal of Biology, 72(4), 919-928.","tbl_1"
"80","0001H8AKVQZ81K4GSBA0SWW55G","Martins",2017,"Journal of Applied Ichthyology","Martins, M. M., Mendonça, H. S., Rodrigues, S. S., & Araújo, F. G. (2017). Trophic ecology of two syntopic sciaenid species (Micropogonias furnieri (Desmarest, 1823) and Ctenosciaena gracilicirrhus)(Metzelaar, 1919) in a tropical bay in south‐eastern Brazil. Journal of Applied Ichthyology, 33(4), 740-745.","tbl_1"
"81","0001H8AKVX4NEZ35125N8V0DP3","Olatunde",1979,"Freshwater biology","OLATUNDE, A. A. (1979). The food and feeding habits of Physailia pellucida and Schilbe mystus with notes on the diets of S. uranoscopus and Siluranodon auritus, family Schilbeidae (Osteichthyes: Siluriformes) in Lake Kainji, Nigeria. Freshwater Biology, 9(3), 183-190.","tbl_4"
"82","0001H8AKVYWK0CS4TTC4VZ0R9J","Page",1970,"Illinois Natural History Survey","Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","tbl_3"
"83","0001H8AKVZWNPDRDTX6AJER147","Plitou",1993,"Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl_1"
"84","0001H8AKW1320EXMEE5J6PSGWX","Santamarina",1993,"Hydrobiologia","Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","tbl_3"
"85","0001H8AKW1T3XE42ZC3F96X90Y","Santamarina",1993,"Hydrobiologia","Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","tbl_3"
"86","0001H8AKW2Y4T6XQNAF7VH7BPQ","Santamarina",1993,"Hydrobiologia","Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","tbl_3"
"87","0001H8AKW2RFJ26XB1M2E9G2SG","Santamarina",1993,"Hydrobiologia","Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","tbl_3"
"88","0001H8AKW40A1SH28NQZ3RPMK4","Sturmbauer",1992,"Environmental Biology of Fishes","Sturmbauer, C., Mark, W., & Dallinger, R. (1992). Ecophysiology of Aufwuchs-eating cichlids in Lake Tanganyika: niche separation by trophic specialization. Environmental Biology of Fishes, 35(3), 283-290.","tbl_1"
"89","0001H8AKW5236RDE4ZPVMTJXCP","RomáN-Valencia",2003,"university of quindio","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl_2"
"90","0001H8AKV2MFKGQ5Q22033B9XD","Carvalho",1985,"International Journal of Tropical Biology and Conservation","Carvalho, M. L., & Goulding, M. (1985). On the feeding ecology of the catfish Hypophthalmus fimbriatus in the blackwater Río Negro of the Amazon Basin. Revista Brasileira de Zoologia, 3(1), 33-41.","tbl_1"
"91","0001H8AKVD78W6M6GNQFSV9GM2","Hunt",1972,"Journal of Fish Biology","Hunt, P. C., & Jones, J. W. (1972). The food of brown trout in Llyn Alaw, Anglesey, North Wales. Journal of Fish Biology, 4(2), 333-352.","tbl_1"
"92","0001H8AKVD78W6M6GNQFSV9GM2","Hunt",1972,"Journal of Fish Biology","Hunt, P. C., & Jones, J. W. (1972). The food of brown trout in Llyn Alaw, Anglesey, North Wales. Journal of Fish Biology, 4(2), 333-352.","tbl_3"
"93","0001H8AKW38K3XM1SDERNJT2S5","Sri",2017,"International Journal for Research in Applied Sciences and Biotechnology","Sri, S. (2017). The Freshwater Catfish Feeding Intensity, Maturation and Food. International Journal for Research in Applied Sciences and Biotechnology (IJRASB), 4(4), 1-5.","tbl_2"
"94","0001H8AKSRXGNPKEQGAREF251Y","Oribhabor",2009,"Nigerian Journal of Agriculture, Food and Environment","Oribhabor, B. J., & Adisa-Bolanta, A. S. (2009). Aspects of the biology of Sarotherodon melanotheron and Tilapia guineensis (Perciformes: Cichlidae) in Buguma Creek, rivers state, Nigeria.�Nigerian Journal of Agriculture, Food and Environment,�5, 5-9.","tbl_2"
"95","0001H8AKTW4K3JREXA0MT03S7V","Abelha",2006,"Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl_1"
"96","0001H8AKVMPS1AJZS23PGBMA9B","Konan",2014,"International Journal of Ichthyology","Konan, Y. A., Bamba, M., & Kone, T. (2014). Qualitative and quantitative traits of the diet of Clarias buettikoferi (Siluriformes; Clariidae) in the Tanoe-Ehy swamp forest (Cote d'Ivoire)/Aspects qualitatifs et quantitatifs de l'alimentation de Clarias buettikoferi (Siluriformes; Clariidae) dans la foret des marais Tanoe-Ehy (Cote d'Ivoire). Cybium, International Journal of Ichthyology, 38(1), 61-69.","tbl_1"
