author,year,journal,citation,table_figure,source_id
Phillips,1996,The Southwestern Naturalist,"Phillips, E., & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest Arkansas streams. The Southwestern Naturalist, 41(1), 69-73.",tbl 2,613
Phillips,1996,The Southwestern Naturalist,"Phillips, E., & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest Arkansas streams. The Southwestern Naturalist, 41(1), 69-73.",tbl 3,614
Thompson & Simon,2014,Journal of Applied Ichthyology,"Thompson, H. A., & Simon, T. P. (2014). Diet shift response in round goby, Neogobius melanostomus, based on size, sex, depth, and habitat in the western basin of Lake Erie. Journal of Applied Ichthyology, 30(5), 955-961.",tbl 1,729
Turner,1992,Beloit College,"Turner, C. L. (1922). Notes on the food habits of young of Cottus ictalops (millers thumb).",tbl 1,743
Virgilio et al.,2019,Amazon. Biotemas,"Virgilio, L. R., Gomes, R., da Silveira Susçuarana, M., & Vieira, L. J. S. (2019). Analysis of the use of microhabitats, spatial distribution and diet of Gymnorhamphichthys rondoni (Miranda-Ribeiro, 1920)(Rhamphichthyidae) in low-order streams in western Amazon. Biotemas, 32(1), 65-76.",tbl 2,763
García-Alzate et al.,2012,Revista de Biología Tropical,"García-Alzate, C. A., Román-Valencia, C., & Barrero, A. M. (2012). Biología alimentaria y reproductiva de Farlowella vittata (Siluriformes: Loricariidae) en la cuenca del río Güejar, Orinoquía, Colombia. Revista de Biología Tropical, 60(4), 1873-1888.",tbl 2,226
Gill and Morgan,1998,Ecology of Freshwater Fish,"Gill, H. S., & Morgan, D. L. (1998). Larval development of Nannatherina balstoni Regan (Nannopercidae), with a description of ontogenetic changes in diet. Ecology of Freshwater Fish, 7(3), 132-139.",tbl 3,239
Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,136
Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl3,131
Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,132
Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,133
Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,134
Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922).�The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl7,135
Greger,1988,AmericanSocietyOfIchthyologistsAndHerpetologists,"Greger, P. D., & Deacon, J. E. (1988). Food partitioning among fishes of the Virgin River. Copeia, 314-323.",tbl 2,259
Greger,1988,AmericanSocietyOfIchthyologistsAndHerpetologists,"Greger, P. D., & Deacon, J. E. (1988). Food partitioning among fishes of the Virgin River. Copeia, 314-323.",tbl 3,260
Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia.�Southeastern Naturalist,�9(2), 347-359.",tbl1,307
Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, �coscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,9
Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, �coscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,10
Alexander,2013,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1�2), 11-22.",tbl1,20
de Almeida,1997,Ecology of Freshwater Fish,"de Almeida VLL, Hahn NS, Vazzoler AEA de M. Feeding patterns in
five predatory fishes of the high Parana River floodplain (PR, Brazil).
Ecology of Freshwater Fish 1997: 6: 123-133.",tbl1,835
Arawomo,1976,J. fish biol,"Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria.�Journal of Fish Biology,�9(1), 3-10.",tbl2,35
Frost,1946,JAE,"Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.",tbl4,221
Maddern,2007,"Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia.�Journal of the Royal Society of Western Australia,�90(4), 203-214.",tbl2,441
oso,2006,World Journal of Zoology,"Oso. World Journal of Zoology 1 (2): 118-121, 2006",tbl1,838
oso,2006,World Journal of Zoology,"Oso. World Journal of Zoology 1 (2): 118-121, 2006",tbl3,839
Aguiaro,2003,Brazilian Archives of Biology and Technology,"Aguiaro, T., Castelo Branco, C. W., Verani, J. R., & Caramaschi, É. P. (2003). Diet of the clupeid fish Platanichthys platana (Regan, 1917) in two different Brazilian coastal lagoons. Brazilian Archives of Biology and Technology, 46, 215-222.",NA,15
Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 3340.",tbl 1,539
Allin,1928,Bulletin of the Buffalo Society of Natural Sciences,"Allin, A. E. (1929). Seining records and food of the intermediate stages of Lake Erie fishes. Bulletin of the Buffalo Society of Natural Sciences. 14: 188-194",tbl29,28
Almeida et al.,2009,"Ecology of freshwater fish, 18(1), 15-23.","Almeida, D., Almodóvar, A., Nicola, G. G., & Elvira, B. (2009). Feeding tactics and body condition of two introduced populations of pumpkinseed Lepomis gibbosus: taking advantages of human disturbances?. Ecology of freshwater fish, 18(1), 15-23.",tbl 3,31
bruton,1979,Transactions of the Zoological Society of London,"Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.",tbl3,833
Cable,1927,"Doctoral dissertation, University of South Dakota","Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",tbl 9,97
dadebo,2000,Ethiopian Journal of Science,"Dadebo, E. (2000). Reproductive biology and feeding habits of the catfish Clarias gariepinus (Burchell)(Pisces: Clariidae) in Lake Awassa, Ethiopia. SINET: Ethiopian Journal of Science, 23(2), 231-246.",tbl1,834
Darnell,1958,Publ. Inst. Mar. Sci. Univ. Tex,"Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.",tbl 1,143
Darnell,1958,Publ. Inst. Mar. Sci. Univ. Tex,"Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.",tbl 12,146
Darnell,1958,Publ. Inst. Mar. Sci. Univ. Tex,"Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.",tbl 3,148
Delariva & Agostinho,2001,Journal of Fish Biology,"Delariva, R. L., & Agostinho, A. A. (2001). Relationship between morphology and diets of six neotropical loricariids. Journal of Fish Biology, 58(3), 832-847.",tbl 3,160
Dutton,2018,"Doctoral dissertation, Montana State UniversityBozeman, College of Letters & Science","Dutton, A. J. (2018). Feeding ecology and foodweb interactions of the fish assemblage in the upper Missouri River and lower Yellowstone River with an emphasis on pallid sturgeon conservation (Doctoral dissertation, Montana State UniversityBozeman, College of Letters & Science).",tbl 2.3,180
Facade & Olaniyan,1973,Journal of Fish Biology,"Facade, S. O., & Olaniyan, C. I. O. (1973). The food and feeding interrelationship of the fishes in the Lagos lagoon. Journal of Fish Biology, 5(2), 205-225.",tbl 2,198
Franz & Cordone,1970,California Fish and Game,"Frantz, T. C., & Cordone, A. J. (1970). Food of lake trout in Lake Tahoe. California Fish and Game, 56(1).",tbl 5,217
Franz & Cordone,1970,California Fish and Game,"Frantz, T. C., & Cordone, A. J. (1970). Food of lake trout in Lake Tahoe. California Fish and Game, 56(1).",tbl 6,218
Genner et al.,1999,Oecologia,"Genner, M. J., Turner, G. F., & Hawkins, S. J. (1999). Foraging of rocky habitat cichlid fishes in Lake Malawi: coexistence through niche partitioning?. Oecologia, 121(2), 283-292.",tbl 1,234
Hellawell,1972,Journal of Fish Biology,"Hellawell, J. M. (1972). The growth, reproduction and food of the roach Rutilus rutilus (L.), of the River Lugg, Herefordshire. Journal of Fish Biology, 4(4), 469-486.",tbl 5,291
Hellawell,1972,Journal of Fish Biology,"Hellawell, J. M. (1972). The growth, reproduction and food of the roach Rutilus rutilus (L.), of the River Lugg, Herefordshire. Journal of Fish Biology, 4(4), 469-486.",tbl 6,292
Idodo-Umeh,2002,Tropical Freshwater Biology,"Idodo-Umeh, G. (2002). The feeding ecology of bagrid species in river Ase, Niger Delta, Southern Nigeria. Tropical Freshwater Biology, 11(1), 47-68.",tbl 3,322
Idodo-Umeh,2002,Tropical Freshwater Biology,"Idodo-Umeh, G. (2002). The feeding ecology of bagrid species in river Ase, Niger Delta, Southern Nigeria. Tropical Freshwater Biology, 11(1), 47-68.",tbl 4,323
Kido,1999,Pacific Science,"Kido, M. H., Heacock, D. E., & Asquith, A. (1999). Alien rainbow trout (Oncorhynchus mykiss)(Salmoniformes: Salmonidae) diet in Hawaiian streams.",tbl 1,363
Kleanthidis,1991,Israel Journal of Ecology and Evolution,"Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.",tbl1,372
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 42,399
Komolafe et al.,2001,Obafemi Awolowo University,"Komolafe, O. O., & Arawomo, G. A. O. (2001). The distribution and feeding habits of a cichlid fish Oreochromis niloticus (Linnaeus) in Opa Reservoir, Ile-Ife.",tbl 3,405
Gkenas et al.,2012,Journal of Applied Ichthyology,NA,tbl 1,241
Li et al.,2015,Environmental Biology of Fishes,"Li, L., Wei, Q. W., Wu, J. M., Zhang, H., Liu, Y., & Xie, X. (2015). Diet of Leptobotia elongata revealed by stomach content analysis and inferred from stable isotope signatures. Environmental biology of fishes, 98(8), 1965-1978.",tbl 1,431
Manna et al.,2012,Brazilian Journal of Biology,"Manna, L. R., Rezende, C. F., & Mazzoni, R. (2012). Plasticity in the diet of Astyanax taeniatus in a coastal stream from south-east Brazil. Brazilian Journal of Biology, 72(4), 919-928.",tbl 1,460
Martins et al.,2017,Journal of Applied Ichthyology,"Martins, M. M., Mendonça, H. S., Rodrigues, S. S., & Araújo, F. G. (2017). Trophic ecology of two syntopic sciaenid species (Micropogonias furnieri (Desmarest, 1823) and Ctenosciaena gracilicirrhus)(Metzelaar, 1919) in a tropical bay in south‐eastern Brazil. Journal of Applied Ichthyology, 33(4), 740-745.",tbl 1,471
Olatunde,1979,Freshwater biology,"OLATUNDE, A. A. (1979). The food and feeding habits of Physailia pellucida and Schilbe mystus with notes on the diets of S. uranoscopus and Siluranodon auritus, family Schilbeidae (Osteichthyes: Siluriformes) in Lake Kainji, Nigeria. Freshwater Biology, 9(3), 183-190.",tbl4,590
Page et al.,1970,Ill. Nat. Hist. Sur. Biol.,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.",tbl 3,602
Plitou,1993,Journal of Fish Biology,"Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.",tbl 1,621
Santamarina,1993,Hydrobiologia,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.",tbl 3,669
Sturmbauer et al.,1992,Environmental Biology of Fishes,"Sturmbauer, C., Mark, W., & Dallinger, R. (1992). Ecophysiology of Aufwuchs-eating cichlids in Lake Tanganyika: niche separation by trophic specialization. Environmental Biology of Fishes, 35(3), 283-290.",tbl 1,710
Román-Valencia et al.,2003,Bull. Mus. Reg. Hist. Nat. Torino,"Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.",tbl 2,657
Carvalho & Goulding,1985,Revista Brasileira de Zoologia,"Carvalho, M. L., & Goulding, M. (1985). On the feeding ecology of the catfish Hypophthalmus fimbriatus in the blackwater Río Negro of the Amazon Basin. Revista Brasileira de Zoologia, 3(1), 33-41.",tbl 1,104
Hunt & Jones,1972,Journal of Fish Biology,"Hunt, P. C., & Jones, J. W. (1972). The food of brown trout in Llyn Alaw, Anglesey, North Wales. Journal of Fish Biology, 4(2), 333-352.",tbl 1,316
Hunt & Jones,1972,Journal of Fish Biology,"Hunt, P. C., & Jones, J. W. (1972). The food of brown trout in Llyn Alaw, Anglesey, North Wales. Journal of Fish Biology, 4(2), 333-352.",tbl 3,317
Sri,2017,International Journal for Research in Applied Sciences and Biotechnology,"Sri, S. (2017). The Freshwater Catfish Feeding Intensity, Maturation and Food. International Journal for Research in Applied Sciences and Biotechnology (IJRASB), 4(4), 1-5.",tbl 2,699
oribhabor,2009,"Nigerian Journal of Agriculture, Food and Environment","Oribhabor, B. J., & Adisa-Bolanta, A. S. (2009). Aspects of the biology of Sarotherodon melanotheron and Tilapia guineensis (Perciformes: Cichlidae) in Buguma Creek, rivers state, Nigeria.�Nigerian Journal of Agriculture, Food and Environment,�5, 5-9.",tbl2,837
Abelha et al.,2006,Neotropical Ichthyology,"Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.",tbl 1,2
Konan,2014,"Cybium, International Journal of Ichthyology","Konan, Y. A., Bamba, M., & Kone, T. (2014). Qualitative and quantitative traits of the diet of Clarias buettikoferi (Siluriformes; Clariidae) in the Tanoe-Ehy swamp forest (Cote d'Ivoire)/Aspects qualitatifs et quantitatifs de l'alimentation de Clarias buettikoferi (Siluriformes; Clariidae) dans la foret des marais Tanoe-Ehy (Cote d'Ivoire). Cybium, International Journal of Ichthyology, 38(1), 61-69.",tbl1,406
Vlach et al.,2013,Knowledge and Management of Aquatic Ecosystems,"Vlach, P., Švátora, M., & Dušek, J. (2013). The food niche overlap of five fish species in the Úpoř brook (Central Bohemia). Knowledge and Management of Aquatic Ecosystems, (411), 04.",tbl 3,765
Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake M�vatn. Oikos, 228-231.",tbl1,5
Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake M�vatn. Oikos, 228-231.",table 2,4
Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biolog�a Tropical, 46(4), 951-959.",tbl3,34
Dorgeloh,1994,Water SA,"Dorgeloh, W. G. (1994). Diet and food selection of Barbus aeneus, Clarias gariepinus and Oncorhynchus mykiss in a clear man-made lake, South Africa. Water SA, 20(1), 91-98.",tbl1,171
Frost,1946,JAE,"Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.",tbl2,219
Frost,1946,JAE,"Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.",tbl3,220
Frost,1946,JAE,"Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.",tbl5,222
Getachew,1989,Hydrobiologia,"Getachew, T., & Fernando, C. H. (1989). The food habits of an herbivorous fish (Oreochromis niloticus Linn.) in Lake Awasa, Ethiopia. Hydrobiologia, 174(3), 195-200.",tbl2,237
Heins,1975,American Midland Naturalist,"Heins, D. C., & Clemmer, G. H. (1975). Ecology, foods and feeding of the longnose shiner, Notropis longirostris (Hay), in Mississippi.�American Midland Naturalist, 284-295.",tbl4,286
Heins,1975,American Midland Naturalist,"Heins, D. C., & Clemmer, G. H. (1975). Ecology, foods and feeding of the longnose shiner, Notropis longirostris (Hay), in Mississippi.�American Midland Naturalist, 284-295.",tbl5,287
Maddern,2007,"Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia.�Journal of the Royal Society of Western Australia,�90(4), 203-214.",tbl3,442
Mendes,2014,Revista Brasileira de Zooci�ncias,"Mendes, L. B., Borges, J. A. T., da Silva, M. J., da Costa Ramos, R. T., & Medeiros, E. S. F. (2011). Food habits of Triportheus signatus (Teleostei, Characidae) in a Brazilian semi-arid intermittent river. Revista Brasileira de Zooci�ncias, 13(1, 2, 3).",tbl3,480
Montana,2009,Icthyology,"Monta�a, C. G., & Winemiller, K. O. (2009). Comparative feeding ecology and habitats use of Crenicichla species (Perciformes: Cichlidae) in a Venezuelan floodplain river.�Neotropical Ichthyology,�7(2), 267-274.",tbl1,511
Adjibade et al.,2019,International Journal of Fisheries and Aquatic Studies,"Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.",tbl 1,12
Alcaraz & GarcíaBerthou,2007,Environmental Biology of Fishes,"Alcaraz, C., & GarcíaBerthou, E. (2007). Food of an endangered cyprinodont (Aphanius iberus): ontogenetic diet shift and prey electivity. Environmental Biology of Fishes, 78(3), 193207.",tbl 1,18
Alekseyev,2014,Journal of Ichthyology,"Alekseyev, S. S., Gordeeva, N. V., Matveev, A. N., Samusenok, V. P., Vokin, A. I., & Yur’ev, A. L. (2014). Three sympatric forms of Arctic charr Salvelinus alpinus complex (Salmoniformes, Salmonidae) from Lake Kamkanda, northern Transbaikalia. Journal of Ichthyology, 54(6), 384-408.",tbl 2,19
Allen,1938,The Journal of Animal Ecology,"Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.",tbl 7,25
Andraso et al.,2017,Environmental Biology of Fishes,"Andraso, G., Blank, N., Shadle, M. J., DeDionisio, J. L., & Ganger, M. T. (2017). Associations between food habits and pharyngeal morphology in the round goby (Neogobius melanostomus). Environmental Biology of Fishes, 100(9), 1069-1083.",tbl 2,32
Applegate,1966,In Southeast. Assoc. Game and Fish Commrs.,"Applegate, R. L. (1966). Food and growth of six centrarchids from shoreline areas of Bull Shoals Reservoir. In Southeast. Assoc. Game and Fish Commrs. 20th Ann. Conf. (pp. 469-481).",tbl 1,33
Atobatele & Ugwumba,2011,Revista de Biología Tropical,"Atobatele, O. E., & Ugwumba, A. O. (2011). Condition factor and diet of Chrysichthys nigrodigitatus and Chrysichthys auratus (Siluriformes: Bagridae) from Aiba Reservoir, Iwo, Nigeria. Revista de Biología Tropical, 59(3), 1233-1244.",tbl 3,37
Bailey,1952,Copeia,"Bailey, J. E. (1952). Life history and ecology of the sculpin Cottus bairdi punctulatus in southwestern Montana. Copeia, 1952(4), 243-255.",tbl 2,45
Bailey,1952,Copeia,"Bailey, J. E. (1952). Life history and ecology of the sculpin Cottus bairdi punctulatus in southwestern Montana. Copeia, 1952(4), 243-255.",tbl 3,46
Ball,1961,In Proceedings of the Zoological Society of London,"Ball, J. N. (1961, December). On the food of the brown trout of Llyn Tegid. In Proceedings of the Zoological Society of London (Vol. 137, No. 4, pp. 599-622). Oxford, UK: Blackwell Publishing Ltd.",tbl 2,50
Bob-Manuel,2013,Journal of Life Science,"Bob-Manuel, F. G. (2013). Food and feeding habits of Tilapia guineensis (1862) in Rumuolumeni creek, Niger delta: implications for pisciculture. Journal of Life Sciences, 5(1), 41-45.",tbl 1,69
Bob-Manuel,2013,Journal of Life Science,"Bob-Manuel, F. G. (2013). Food and feeding habits of Tilapia guineensis (1862) in Rumuolumeni creek, Niger delta: implications for pisciculture. Journal of Life Sciences, 5(1), 41-45.",tbl 2,70
Brown,1938,The Journal of Wildlife Management,"Brown, C. J. D. (1938). The feeding habits of the Montana grayling (Thymallus montanus). The Journal of Wildlife Management, 2(3), 135-145.",tbl 1,78
Brown,1938,The Journal of Wildlife Management,"Brown, C. J. D. (1938). The feeding habits of the Montana grayling (Thymallus montanus). The Journal of Wildlife Management, 2(3), 135-145.",tbl 2,79
Brown,1938,The Journal of Wildlife Management,"Brown, C. J. D. (1938). The feeding habits of the Montana grayling (Thymallus montanus). The Journal of Wildlife Management, 2(3), 135-145.",tbl 3,80
Cable,1927,"Doctoral dissertation, University of South Dakota","Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",tbl 10,86
Cable,1927,"Doctoral dissertation, University of South Dakota","Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",tbl 11,87
