site_name,lat,long,predator_min_length,predator_average_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling_interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Detritus,Algae,Protist_Rotifoer,Vegetation,Seeds,Microcrustaceans,Worms,Molluscs,Macrocrustaceans,Aquatic insects,Terrestrial arthropods,Fish_other,Perciformes,Clupeidae,Mugiliforms,Cypriniformes
"Lake Nokoue, Benin, West Africa",,,103,103,103,mm,standard,,Liza grandisquamis,1,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,100,128,155,mm,standard,,Lutjanus agennes,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,22,0,0,78,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,52,101,190,mm,standard,,Lutjanus goriensis,17,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),1,0,0,0,0,0,0,0,19,0,0,56,9,15,0,0
"Lake Nokoue, Benin, West Africa",,,67,77,87,mm,standard,,Monodactylus sebae,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,132,179,226,mm,standard,,Mugil bananensis,3,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,188,189,190,mm,standard,,Mugil cephalus,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,120,145,168,mm,standard,,Mugil curema,5,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,358,410,455,mm,standard,,Myrophys plumbeus,4,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,160,249,356,mm,standard,,Polydactylus quadrifilis,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),1,0,0,0,0,0,0,0,2,0,0,4,0,0,93,0
"Lake Nokoue, Benin, West Africa",,,70,121,168,mm,standard,,Pomadasys jubelini,9,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),1,0,0,0,0,0,85,0,4,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,93,131,145,mm,standard,,Pomadasys peroteti,6,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),47,0,0,0,0,1,0,0,50,0,0,2,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,88,89,90,mm,standard,,Progobius schlegelii,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,63,98,160,mm,standard,,Sarotherodon melanotheron,52,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),96,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,190,190,190,mm,standard,,Sphyraena afra,1,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,256,302,348,mm,standard,,Strongylura senegalensis,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,111,158,190,mm,standard,,Synaptura lusitanica,7,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),8,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,6,54,145,mm,standard,,Tilapia guineensis,10,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,140,153,165,mm,standard,,Tilapia zillii,1,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,110,110,110,mm,standard,,Trachinotus teraia,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
